id,latitude,longitude
1554,-77.0276823166,38.9612286079
1555,-77.0273259028,38.9663392524
1556,-77.0092092555,38.9630801958
1557,-77.0282475394,38.9617387904
1558,-77.0278293667,38.9687561355
1559,-77.0267180221,38.9792392742
1560,-77.0279691538,38.9653450403
1561,-77.0261768608,38.9786024251
1562,-77.0261755526,38.9784969391
1563,-77.0179463466,38.9749411426
1564,-77.0177582536,38.9745348101
1565,-77.0261588625,38.9792459766
1566,-77.026122921,38.9800569047
1567,-77.0127397656,38.9675519188
1568,-77.0021039707,38.9650983874
1569,-77.0764003684,38.9654699905
1570,-77.0742993619,38.9633438656
1571,-77.0742544824,38.963237957
1572,-77.0686240686,38.9656258811
1573,-77.0283945272,38.9602690579
1574,-77.0265483259,38.9695206024
1575,-77.0270227048,38.984108146
1576,-77.0093865174,38.96157193
1577,-77.0274808826,38.9642757868
1578,-77.0267478268,38.9790087469
1579,-77.0115484333,38.9644963554
1580,-77.0757794073,38.9645463282
1581,-77.0757121195,38.9644212472
1582,-77.0750801418,38.9634282246
1583,-77.0263000864,38.9841456948
1584,-77.0183237531,38.9741917795
1585,-76.9868481832,38.8668233478
1586,-76.990559974,38.882083484
1587,-76.9713811746,38.8476296625
1588,-76.9727455939,38.8741255534
1589,-76.9718691525,38.8736428557
1590,-76.9589494702,38.8683777599
1591,-76.9498693169,38.8661902156
1592,-76.9421684697,38.8833642331
1593,-76.9343246079,38.8739154147
1594,-76.9917103714,38.8895262958
1595,-76.9852500496,38.8798002985
1596,-76.9834606025,38.8791794707
1597,-76.9857311602,38.8846872279
1598,-76.9721899974,38.8730038765
1599,-76.9703250405,38.8728593732
1600,-76.9541217874,38.8902005051
1601,-76.9388623631,38.8907794197
1602,-76.9311628727,38.8784712129
1603,-76.9307830664,38.8778272485
1604,-76.9848056121,38.8664395217
1605,-76.9841241129,38.8800986889
1606,-76.9713210594,38.8475854164
1607,-76.9658401283,38.8761480148
1608,-76.9366756716,38.8891762051
1609,-76.9895849281,38.864751509
